Strain,Condition,Volume,Dilution_1,Dilution_2,Colonies_1A,Colonies_1B,Colonies_2A,Colonies_2B,Titre
SLM1043,LB,0.1,0.001,0.0001,376,376,31,31,3700000.0
DG024,LB,0.1,0.001,0.0001,770,770,7,7,7063636.363636362
DG026,LB,0.1,0.001,0.0001,98,98,22,22,1090909.0909090908
SLM1043,Kan,0.1,0.0,1.0,0,0,92,92,920.0
DG024,Kan,0.1,0.0,1.0,0,0,65,65,650.0
DG026,Kan,0.1,0,10e-1,0,0,86,86,860.0
