,Strain,Cultures,Total_cells,Mutant_cells,Rate_u,Rate_m,Sigma,Sigma_m,m_n,Sigma_n
0,DG060 #2,5,640000000.0,4145.454544,6.477272725e-06,549.1811478587204,102.38732650138208,0.1864363460045823,8.580955435292506e-07,1.599801976584095e-07
1,DG061 #1,5,898181818.0,14327.272728,1.5951417008087333e-05,1655.926981291789,273.4232853563844,0.1651179601790695,1.843643400596859e-06,3.044186376041564e-07
2,DG062 #4,5,1752727272.8,5709.090908,3.257261410030819e-06,728.977439951991,131.54957572789715,0.1804576774509795,4.1591036510057947e-07,7.50542185138395e-08
