Strain,Cultures,Total_cells,Mutant_cells,Rate_u,Rate_m,Sigma,Sigma_m,m_n,Sigma_n
SLM1043,1,18500000.0,4600.0,0.0002486486486486,602.0653932334855,248.32096226845252,0.4124484899137058,3.254407530991813e-05,1.3422754717213653e-05
DG024,1,35318181.81818181,3250.0,9.202059202059204e-05,443.14742389832594,189.4967099956967,0.4276155062094507,1.2547288707545913e-05,5.3654152122333695e-06
DG026,1,5454545.454545454,4300.0,0.0007883333333333334,567.2256583692226,235.5765809694726,0.41531368952306696,0.00010399137070102416,4.318903984440331e-05
