Strain,Condition,Volume,Dilution_1,Dilution_2,Colonies_1A,Colonies_1B,Colonies_2A,Colonies_2B,Titre
DG060 #2,LB,0.1,1e-06,1e-05,23,23,153,153,160000000.0
DG061 #1,LB,0.1,1e-06,1e-05,24,24,223,223,224545454.5
DG062 #4,LB,0.1,1e-06,1e-05,41,41,441,441,438181818.2
DG060 #2,Kan,0.1,0.1,1.0,13,13,101,101,1036.363636
DG061 #1,Kan,0.1,0.1,1.0,37,37,357,357,3581.818181818181
DG062 #4,Kan,0.1,10e-2,10e-1,24,24,133,133,1427.272727272727
