Strain,Cultures,Total_cells,Mutant_cells,Rate_u,Rate_m,Sigma,Sigma_m,m_n,Sigma_n,Factor
SLM1043 #6,9,1272727273,10818.18182,8.50E-06,1288,162.7,0.13,1.01E-06,1.00E-07,1
SLM1042 #3,9,995454545.5,4000,4.02E-06,532.1,74.22,0.14,5.00E-07,7.46E-08,0.495049505
