Strain,Cultures,Total_cells,Mutant_cells,Rate_u,Rate_m,Sigma,Sigma_m,m_n,Sigma_n
SLM1042 #1,3,1204545454.5454545,12499.999999999998,1.0377358490566036e-05,1465.4323914667189,316.38684670868827,0.2158999954900844,1.216585381595012e-06,2.6266077839966573e-07
DG011 #2,3,1250000000.0,909.090909090909,7.272727272727272e-07,146.0615107368308,41.6004099569787,0.2848143206729736,1.1684920858946464e-07,3.328032796558296e-08
DG027 #2,3,1204545454.5454545,10681.81818181818,8.867924528301885e-06,1273.2613266208473,279.01262871358256,0.2191322573615456,1.057047139081458e-06,2.316331257244837e-07
DG028 #3,3,2045454545.454545,11363.636363636362,5.555555555555556e-06,1345.662357464858,293.15131961515874,0.2178490896984271,6.578793747605975e-07,1.4331842292296652e-07
DG032 #1,3,1227272727.272727,5454.545454545454,4.444444444444445e-06,700.089774433686,163.84997650263497,0.2340413793862021,5.704435199089294e-07,1.335073882614063e-07
DG033 #1,3,2000000000.0,17272.727272727272,8.636363636363635e-06,1958.3865807654686,410.33035251188363,0.20952469575822924,9.791932903827343e-07,2.051651762559418e-07
