,Strain,Cultures,Total_cells,Mutant_cells,Rate_u,Rate_m,Sigma,Sigma_m,m_n,Sigma_n
0,DG060,9,1704545454.5,12000.0,7.040000000187733e-06,1412.8658386184118,176.79129385804123,0.125129569295071,8.288812920115718e-07,1.0371755906615e-07
1,DG061,9,1590909091.0,23590.90909,1.4828571427152654e-05,2592.319736845808,304.88393239362193,0.117610466047135,1.6294581202099671e-06,1.916413289221829e-07
2,DG062,9,1595454545.5,20227.272725,1.2678062676276978e-05,2257.051063519152,269.1432821915519,0.1192455441269054,1.41467588022811e-06,1.6869379510100996e-07
