Strain,Cultures,Total_cells,Mutant_cells,Rate_u,Rate_m,Sigma,Sigma_m,m_n,Sigma_n
SLM1042 #1,3,669090909.0,56090.90909090908,8.383152175052057e-05,5675.018140270614,1072.8197891216564,0.1890425303681053,8.481684721665549e-06,1.603399141568155e-06
DG011 #2,3,801818182.0,3863.636363636363,4.818594103215738e-06,516.0948920329871,125.1275358281745,0.2424506379733298,6.436557608929192e-07,1.5605474986369728e-07
DG027 #2,3,373181818.2,12454.545454545452,3.3373934224926965e-05,1460.6619015502267,315.464834225748,0.2159738909400864,3.914075740869593e-06,8.453381671898076e-07
DG028 #3,3,754090909.090909,9818.181818181818,1.301989150090416e-05,1180.915166965395,260.86847690950816,0.2209036552387276,1.5660116740951592e-06,3.4593770295413985e-07
DG032 #1,3,265909090.90909088,4454.545454545454,1.6752136752136753e-05,585.2035029624993,139.81255221223503,0.2389127055878105,2.2007653102863225e-06,5.257907946443028e-07
DG033 #1,3,738636363.6363636,15636.363636363636,2.1169230769230768e-05,1790.9985075089835,378.70411569207363,0.21144859367794536,2.424736440935239e-06,5.127071104754228e-07
