,Strain,Cultures,Total_cells,Mutant_cells,Rate_u,Rate_m,Sigma,Sigma_m,m_n,Sigma_n
0,DG060,9,1704545454.545454,11999.999999999998,7.040000000000001e-06,1412.8658386184115,176.7912938580412,0.125129569295071,8.288812919894683e-07,1.0371755906338421e-07
1,DG061,9,2136363636.363636,23590.90909090909,1.1042553191489362e-05,2592.319736935813,304.88393240315946,0.1176104660467307,1.2134262598422957e-06,1.4271162793339384e-07
2,DG062,9,1595454545.454545,20227.272727272724,1.267806267806268e-05,2257.051063747296,269.1432822160261,0.1192455441256954,1.4146758804114108e-06,1.68693795121156e-07
