Strain,Cultures,Total_cells,Mutant_cells,Rate_u,Rate_m,Sigma,Sigma_m,m_n,Sigma_n,factor
DG023 #1,3,872727272.7,12636.36364,1.45E-05,1479.734115,319.1493387,0.215680193,1.70E-06,3.66E-07,0.846091634
DG024 #3,3,622727272.7,5409.090909,8.69E-06,694.9171407,162.776679,0.234238975,1.12E-06,2.61E-07,0.397344072
DG025 #1,3,345454545.5,15227.27273,4.41E-05,1748.905267,370.7096439,0.21196668,5.06E-06,1.07E-06,1
DG026 #3,3,518181818.2,26045.45455,5.03E-05,2834.252128,572.3022036,0.201923533,5.47E-06,1.10E-06,1.620586422
