,Unnamed: 0,Strain,Cultures,Total_cells,Mutant_cells,Rate_u,Rate_m,Sigma,Sigma_m,m_n,Sigma_n
0,0,DG060,9,1568181818.181818,8681.81818181818,5.536231884057971e-06,1058.2002018458547,136.57037730632024,0.1290591109962896,6.747943316118494e-07,8.708835654316076e-08
1,1,DG061,9,1686363636.363636,14318.181818181816,8.49056603773585e-06,1654.985096889199,203.6937719696856,0.1230789161500967,9.813927798264797e-07,1.2078875965857366e-07
2,2,DG062,9,1268181818.181818,14272.72727272727,1.1254480286738351e-05,1650.2748412770009,203.17403731701523,0.1231152728231601,1.3012919895374202e-06,1.6020891831449234e-07
