,Strain,Cultures,Total_cells,Mutant_cells,Rate_u,Rate_m,Sigma,Sigma_m,m_n,Sigma_n,Factor
0,DG060 #2,5,800000000.0,5818.181818,7.27e-06,741.3179573,133.5227221,0.180115321,9.27e-07,1.67e-07,
1,DG061 #1,5,1181818182.0,14000.0,1.18e-05,1621.983854,268.3945711,0.165473023,1.37e-06,2.27e-07,
2,DG062 #4,5,890909090.9,6909.090909,7.76e-06,863.5258503,152.8974666,0.177061829,9.69e-07,1.72e-07,
