Strain,Cultures,Total_cells,Mutant_cells,Rate_u,Rate_m,Sigma,Sigma_m,m_n,Sigma_n
SLM1042 #8,11,659090909.0,2772.7272725000003,4.2068965519595725e-06,385.40623406618266,50.53735438250815,0.1311274959133893,5.847542862500364e-07,7.667736528058855e-08
SLM1043 #9,11,686363636.5,12454.545455,1.8145695361295555e-05,1460.66190159794,164.7461366402297,0.1127886860470586,2.1281166774020084e-06,2.400274837990047e-07
DG024 #6,11,359090909.1,10272.727275,2.8607594942313733e-05,1229.610978331772,141.23906927878093,0.1148648408055055,3.424233104128372e-06,3.933239903866476e-07
DG026 #6,11,209090909.1,21863.636365,0.0001045652173932,2420.7327932011376,259.2820183739972,0.1071088965714083,1.1577417706110772e-05,1.2400444356478107e-06
DG027 #8,11,286363636.35,2636.3636365,9.206349207263796e-06,368.7202198332656,48.61192627412467,0.1318395999441171,1.2875944185266858e-06,1.697559330288364e-07
DG028 #7,11,545454545.5,4181.818182,7.66666666636111e-06,553.4330663462467,69.50126319128381,0.12558205755599258,1.0146272882169e-06,1.274189825067354e-07
