Strain,Cultures,Total_cells,Mutant_cells,Rate_u,Rate_m,Sigma,Sigma_m,m_n,Sigma_n
1042,1,8999999.999999998,50.0,5.555555555555557e-06,13.111381519819522,9.707135302942511,0.7403594570312015,1.456820168868836e-06,1.0785705892158349e-06
1043,1,5000000.0,1500.0,0.0003,225.3104968896561,104.85700443092816,0.4653889005547797,4.506209937793122e-05,2.097140088618564e-05
DG024,1,5500000.0,450.0,8.181818181818182e-05,80.03591969294544,43.06916361220224,0.5381229300223617,1.4551985398717353e-05,7.830757020400408e-06
DG026,1,5500000.0,400.0,7.272727272727273e-05,72.42947743680715,39.57269031871293,0.5463616709541924,1.31689958976013e-05,7.195034603402351e-06
DG027,1,10000000.0,150.0,1.5e-05,31.89769722905261,19.9339480580991,0.6249337660633114,3.189769722905261e-06,1.99339480580991e-06
DG028,1,5000000.0,50.0,1e-05,13.111381519819522,9.707135302942511,0.7403594570312015,2.6222763039639044e-06,1.941427060588502e-06
