Strain,Cultures,Total_cells,Mutant_cells,Rate_u,Rate_m,Sigma,Sigma_m,m_n,Sigma_n
SLM1042,1,479545454.5454544,1636.3636363636365,3.4123222748815174e-06,243.02970412405696,111.9960983291523,0.4608329616859623,5.067918000691237e-07,2.335463661840144e-07
SLM1043,1,346363636.3636363,21818.181818181816,6.299212598425197e-05,2416.201335750802,858.4917592700881,0.3553063838545239,6.975909368309405e-06,2.478585131750911e-06
DG024,1,340454545.4545454,20772.727272727272,6.101468624833112e-05,2311.739623119897,825.0112004453509,0.3568789461383741,6.790156436400232e-06,2.423263873137213e-06
DG026,1,301818181.8181818,10227.272727272726,3.388554216867469e-05,1224.7508154803168,466.7830774215475,0.3811249370252403,4.05790932839864e-06,1.546570437240067e-06
DG027,1,97727272.72727272,8818.181818181818,9.023255813953487e-05,1073.0041735125735,414.8167786148204,0.3865938165523449,1.0979577589430988e-05,4.2446368044307206e-06
DG028,1,306818181.81818175,6909.090909090908,2.251851851851852e-05,863.5258502717011,341.8891290087528,0.3959222864042579,2.814454623107767e-06,1.1143053093618611e-06
