Cultures,Total_cells,Mutant_cells,Rate_u,Rate_m,Sigma,Sigma_m,m_n,Sigma_n
9,1272727272.7272725,10818.18181818182,8.500000000000005e-06,1288.0,162.7,0.13,1.01e-06,1e-07
9,995454545.4545451,3999.9999999999995,4.01826484018265e-06,532.1,74.22,00.14,00.5e-6,74.6e-9
