Strain,Condition,Volume,Dilution_1,Dilution_2,Colonies_1A,Colonies_1B,Colonies_2A,Colonies_2B,Titre
DG027 #1,Kan,0.01,0.1,1.0,15,8,55,46,5636.363636
DG027 #2,Kan,0.01,0.1,1.0,2,4,28,21,2500.0
DG027 #3,Kan,0.01,0.1,1.0,6,6,31,29,3272.727273
DG027 #4,Kan,0.01,0.1,1.0,1,1,11,12,1136.363636
DG027 #5,Kan,0.01,0.1,1.0,1,1,11,12,1136.363636
DG027 #6,Kan,0.01,0.1,1.0,1,0,14,8,1045.454545
DG027 #7,Kan,0.01,0.1,1.0,1,2,24,16,1954.545455
DG027 #8,Kan,0.01,0.1,1.0,1,1,16,24,1909.090909
DG027 #9,Kan,0.01,0.1,1.0,1,4,23,19,2136.363636
DG028 #1,Kan,0.01,0.1,1.0,4,2,22,19,2136.363636
DG028 #2,Kan,0.01,0.1,1.0,1,3,7,11,1000.0
DG028 #3,Kan,0.01,0.1,1.0,4,4,36,29,3318.181818
DG028 #4,Kan,0.01,0.1,1.0,1,0,25,25,2318.181818
DG028 #5,Kan,0.01,0.1,1.0,1,4,16,10,1409.090909
DG028 #6,Kan,0.01,0.1,1.0,1,1,7,9,818.1818182
DG028 #7,Kan,0.01,0.1,1.0,2,1,10,8,954.5454545
DG028 #8,Kan,0.01,0.1,1.0,2,3,29,24,2636.363636
DG028 #9,Kan,0.01,0.1,1.0,0,0,14,13,1227.272727
DG032 #1,Kan,0.01,0.1,1.0,1,5,20,24,2272.727273
DG032 #2,Kan,0.01,0.1,1.0,1,4,22,19,2090.909091
DG032 #3,Kan,0.01,0.1,1.0,7,5,50,43,4772.727273
DG032 #4,Kan,0.01,0.1,1.0,2,2,11,4,863.6363636
DG032 #5,Kan,0.01,0.1,1.0,2,5,11,11,1318.181818
DG032 #6,Kan,0.01,0.1,1.0,0,0,15,14,1318.181818
DG032 #7,Kan,0.01,0.1,1.0,3,3,22,18,2090.9090909090905
DG032 #8,Kan,0.01,0.1,1.0,3,2,22,16,1954.5454545454545
DG032 #9,Kan,0.01,0.1,1.0,2,1,33,26,2818.181818181818
DG033 #1,Kan,0.01,0.1,1.0,2,1,18,16,1681.8181818181818
DG033 #2,Kan,0.01,0.1,1.0,3,0,17,16,1636.3636363636365
DG033 #3,Kan,0.01,0.1,1.0,10,10,55,62,6227.272727272727
DG033 #4,Kan,0.01,0.1,1.0,1,3,14,11,1318.181818181818
DG033 #5,Kan,0.01,0.1,1.0,2,2,21,20,2045.4545454545453
DG033 #6,Kan,0.01,0.1,1.0,2,6,14,15,1681.8181818181818
DG033 #7,Kan,0.01,0.1,1.0,4,9,40,35,4000.0
DG033 #8,Kan,0.01,0.1,1.0,1,3,7,11,1000.0
DG033 #9,Kan,0.01,10e-2,10e-1,1,0,14,11,1181.8181818181818
