Strain,Condition,Volume,Dilution_1,Dilution_2,Colonies_1A,Colonies_1B,Colonies_2A,Colonies_2B,Titre,Median
DG060 #2,LB,0.1,1.00E-06,1.00E-05,23,23,153,153,160000000,TRUE
DG061 #1,LB,0.1,1.00E-06,1.00E-05,24,24,223,223,224545454.5,TRUE
DG062 #4,LB,0.1,1.00E-06,1.00E-05,41,41,441,441,438181818.2,TRUE
DG060 #2,Kan,0.1,0.1,1,13,13,101,101,1036.363636,TRUE
DG061 #1,Kan,0.1,0.1,1,37,37,357,357,3581.818182,TRUE
DG062 #4,Kan,0.1,1.00E-01,1.00E+00,24,24,133,133,1427.272727,TRUE
