Strain,Cultures,Total_cells,Mutant_cells,Rate_u,Rate_m,Sigma,Sigma_m,m_n,Sigma_n
DG060 #2,5,640000000,4145.454544,6.48E-06,549.1811479,102.3873265,0.186436346,8.58E-07,1.60E-07
DG061 #1,5,898181818,14327.27273,1.60E-05,1655.926981,273.4232854,0.16511796,1.84E-06,3.04E-07
DG062 #4,5,1752727273,5709.090908,3.26E-06,728.97744,131.5495757,0.180457677,4.16E-07,7.51E-08
