Strain,Cultures,Total_cells,Mutant_cells,Rate_u,Rate_m,Sigma,Sigma_m,m_n,Sigma_n,factor
DG023 #1,3,1340909091,15000,1.12E-05,1725.475129,366.2521449,0.212261619,1.29E-06,2.73E-07,0.835458876
DG024 #3,3,1204545455,12272.72727,1.02E-05,1441.563511,311.7708028,0.216272679,1.20E-06,2.59E-07,1
DG025 #1,3,1159090909,15681.81818,1.35E-05,1795.669216,379.5901288,0.211392012,1.55E-06,3.27E-07,0.736276965
DG026 #3,3,1431818182,22045.45455,1.54E-05,2438.850189,499.8315943,0.204945591,1.70E-06,3.49E-07,1
