Strain,Cultures,Total_cells,Mutant_cells,Rate_u,Rate_m,Sigma,Sigma_m,m_n,Sigma_n,Factor
SLM1042 #1,3,669090909,56090.90909,8.38E-05,5675.01814,1072.819789,0.18904253,8.48E-06,1.60E-06,13.17736162
DG011 #2,3,801818182,3863.636364,4.82E-06,516.094892,125.1275358,0.242450638,6.44E-07,1.56E-07,1
DG027 #2,3,373181818.2,12454.54545,3.34E-05,1460.661902,315.4648342,0.215973891,3.91E-06,8.45E-07,6.08100786
DG028 #3,3,754090909.1,9818.181818,1.30E-05,1180.915167,260.8684769,0.220903655,1.57E-06,3.46E-07,2.432995662
DG032 #1,3,265909090.9,4454.545455,1.68E-05,585.203503,139.8125522,0.238912706,2.20E-06,5.26E-07,3.419165094
DG033 #1,3,738636363.6,15636.36364,2.12E-05,1790.998508,378.7041157,0.211448594,2.42E-06,5.13E-07,3.767132353
