Strain,Cultures,Total_cells,Mutant_cells,Rate_u,Rate_m,Sigma,Sigma_m,m_n,Sigma_n
DG009,9,722727272.7272725,2363.6363636363635,3.270440251572328e-06,335.0624064460538,49.417139328773125,0.147486373815946,4.636083611203262e-07,6.837591605239051e-08
DG011,9,522727272.72727257,1727.272727272727,3.304347826086957e-06,254.74944944852967,38.89543245368503,0.1526811246810705,4.873467728580569e-07,7.440865338965834e-08
DG028,9,768181818.181818,4636.363636363636,6.035502958579883e-06,606.2722720395697,83.28490990807099,0.1373721242897864,7.892301766195583e-07,1.084182259158321e-07
DG033,9,854545454.5454544,6999.999999999999,8.191489361702128e-06,873.6191833251132,115.14644222461946,0.13180393061694967,1.0223203209123667e-06,1.347458366458313e-07
