Strain,Cultures,Total_cells,Mutant_cells,Rate_u,Rate_m,Sigma,Sigma_m,m_n,Sigma_n,Factor
DG060 #2,5,800000000,5818.181818,7.27E-06,741.3179573,133.5227221,0.180115321,9.27E-07,1.67E-07,
DG061 #1,5,1181818182,14000,1.18E-05,1621.983854,268.3945711,0.165473023,1.37E-06,2.27E-07,
DG062 #4,5,890909090.9,6909.090909,7.76E-06,863.5258503,152.8974666,0.177061829,9.69E-07,1.72E-07,
