,Strain,Cultures,Total_cells,Mutant_cells,Rate_u,Rate_m,Sigma,Sigma_m,m_n,Sigma_n,Factor
0,SLM1042 #8,11,659090909.0,2772.727273,4.21e-06,385.4062341,50.53735438,0.131127496,5.85e-07,7.67e-08,1.0
1,SLM1043 #9,11,686363636.5,12454.54546,1.81e-05,1460.661902,164.7461366,0.112788686,2.13e-06,2.4e-07,3.639334892
2,DG060 #2,5,800000000.0,5818.181818,7.27e-06,741.3179573,133.5227221,0.180115321,9.27e-07,1.67e-07,
