Strain,Cultures,Total_cells,Mutant_cells,Rate_u,Rate_m,Sigma,Sigma_m,m_n,Sigma_n
DG061 #1,5,1181818181.8181815,13999.999999999998,1.1846153846153847e-05,1621.983853803412,268.3945711435672,0.1654730227518634,1.3724478762951952e-06,2.2710309865994158e-07
DG062 #4,5,890909090.9090908,6909.090909090908,7.755102040816327e-06,863.5258502717011,152.8974666463533,0.1770618292414123,9.692637094886441e-07,1.716196054193762e-07
